object_category,schema_name,parent_name,object_name,definition
column,public,ai_decision_runs,started_at,11|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,ai_decision_runs,status,3|text|pg_catalog|text|NO|'queued'::text|NO|
column,public,ai_memory_events,confidence,11|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_memory_events,created_at,14|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,ai_memory_events,decision,8|text|pg_catalog|text|YES||NO|
column,public,ai_memory_events,evidence,7|jsonb|pg_catalog|jsonb|NO|'[]'::jsonb|NO|
column,public,ai_memory_events,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,ai_memory_events,impact_score,12|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_memory_events,learning,10|text|pg_catalog|text|YES||NO|
column,public,ai_memory_events,memory_type,2|text|pg_catalog|text|NO|'decision'::text|NO|
column,public,ai_memory_events,reason,6|text|pg_catalog|text|YES||NO|
column,public,ai_memory_events,result,9|text|pg_catalog|text|YES||NO|
column,public,ai_memory_events,subject_id,4|text|pg_catalog|text|YES||NO|
column,public,ai_memory_events,subject_type,3|text|pg_catalog|text|NO|'system'::text|NO|
column,public,ai_memory_events,tags,13|ARRAY|pg_catalog|_text|NO|'{}'::text[]|NO|
column,public,ai_memory_events,title,5|text|pg_catalog|text|NO||NO|
column,public,ai_product_recommendations,ai_score,5|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_product_recommendations,competition_score,8|numeric|pg_catalog|numeric|NO|50|NO|
column,public,ai_product_recommendations,confidence,11|integer|pg_catalog|int4|NO|0|NO|
column,public,ai_product_recommendations,decision_action,24|text|pg_catalog|text|NO|'review'::text|NO|
column,public,ai_product_recommendations,decision_run_id,22|bigint|pg_catalog|int8|YES||NO|
column,public,ai_product_recommendations,decision_score,23|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_product_recommendations,estimated_units_high,13|integer|pg_catalog|int4|NO|0|NO|
column,public,ai_product_recommendations,estimated_units_low,12|integer|pg_catalog|int4|NO|0|NO|
column,public,ai_product_recommendations,evidence,18|jsonb|pg_catalog|jsonb|NO|'{}'::jsonb|NO|
column,public,ai_product_recommendations,generated_at,20|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,ai_product_recommendations,growth_score,7|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_product_recommendations,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,ai_product_recommendations,market_product_id,2|bigint|pg_catalog|int8|NO||NO|
column,public,ai_product_recommendations,market_score,6|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_product_recommendations,model_version,19|text|pg_catalog|text|NO|'discovery-v1'::text|NO|
column,public,ai_product_recommendations,profit_score,10|numeric|pg_catalog|numeric|NO|50|NO|
column,public,ai_product_recommendations,recommendation_reason,17|text|pg_catalog|text|YES||NO|
column,public,ai_product_recommendations,recommendation_type,3|text|pg_catalog|text|NO|'single'::text|NO|
column,public,ai_product_recommendations,reviewed_at,21|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,ai_product_recommendations,risk_explanation,27|text|pg_catalog|text|YES||NO|
column,public,ai_product_recommendations,risk_score,9|numeric|pg_catalog|numeric|NO|50|NO|
column,public,ai_product_recommendations,season_score,26|numeric|pg_catalog|numeric|NO|50|NO|
column,public,ai_product_recommendations,status,4|text|pg_catalog|text|NO|'candidate'::text|NO|
column,public,ai_product_recommendations,supply_score,25|numeric|pg_catalog|numeric|NO|50|NO|
column,public,ai_product_recommendations,target_cost_price,15|numeric|pg_catalog|numeric|YES||NO|
column,public,ai_product_recommendations,target_margin_rate,16|numeric|pg_catalog|numeric|YES||NO|
column,public,ai_product_recommendations,target_sale_price,14|numeric|pg_catalog|numeric|YES||NO|
column,public,ai_workers,automation_level,9|integer|pg_catalog|int4|NO|1|NO|
column,public,ai_workers,created_at,12|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,ai_workers,current_job,7|text|pg_catalog|text|YES||NO|
column,public,ai_workers,current_mission,6|text|pg_catalog|text|YES||NO|
column,public,ai_workers,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,ai_workers,last_activity_at,10|timestamp with time zone|pg_catalog|timestamptz|YES||NO|
column,public,ai_workers,metadata,11|jsonb|pg_catalog|jsonb|NO|'{}'::jsonb|NO|
column,public,ai_workers,performance_score,8|numeric|pg_catalog|numeric|NO|0|NO|
column,public,ai_workers,role,4|text|pg_catalog|text|NO||NO|
column,public,ai_workers,status,5|text|pg_catalog|text|NO|'idle'::text|NO|
column,public,ai_workers,updated_at,13|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,ai_workers,worker_code,2|text|pg_catalog|text|NO||NO|
column,public,ai_workers,worker_name,3|text|pg_catalog|text|NO||NO|
column,public,commerce_project_components,created_at,11|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,commerce_project_components,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,commerce_project_components,inbound_shipping_cost,8|numeric|pg_catalog|numeric|NO|0|NO|
column,public,commerce_project_components,product_id,3|bigint|pg_catalog|int8|YES||NO|
column,public,commerce_project_components,product_no,4|text|pg_catalog|text|YES||NO|
column,public,commerce_project_components,project_id,2|bigint|pg_catalog|int8|NO||NO|
column,public,commerce_project_components,quantity,6|integer|pg_catalog|int4|NO|1|NO|
column,public,commerce_project_components,supplier_id,9|text|pg_catalog|text|YES||NO|
column,public,commerce_project_components,supplier_name,10|text|pg_catalog|text|YES||NO|
column,public,commerce_project_components,title,5|text|pg_catalog|text|NO||NO|
column,public,commerce_project_components,unit_supply_price,7|numeric|pg_catalog|numeric|NO|0|NO|
column,public,commerce_projects,advertising_rate,9|numeric|pg_catalog|numeric|NO|0.08|NO|
column,public,commerce_projects,analysis_result,18|jsonb|pg_catalog|jsonb|YES||NO|
column,public,commerce_projects,business_score,12|numeric|pg_catalog|numeric|YES||NO|
column,public,commerce_projects,competition_score,13|numeric|pg_catalog|numeric|YES||NO|
column,public,commerce_projects,created_at,20|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,commerce_projects,fulfillment_score,15|numeric|pg_catalog|numeric|YES||NO|
column,public,commerce_projects,grade,17|text|pg_catalog|text|YES||NO|
column,public,commerce_projects,id,1|bigint|pg_catalog|int8|NO||YES|BY DEFAULT
column,public,commerce_projects,marketplace_fee_rate,8|numeric|pg_catalog|numeric|NO|0.11|NO|
column,public,commerce_projects,monthly_sales_units,7|integer|pg_catalog|int4|NO|0|NO|
column,public,commerce_projects,name,2|text|pg_catalog|text|NO||NO|
column,public,commerce_projects,notes,19|text|pg_catalog|text|YES||NO|
column,public,commerce_projects,product_type,3|text|pg_catalog|text|NO||NO|
column,public,commerce_projects,profitability_score,14|numeric|pg_catalog|numeric|YES||NO|
column,public,commerce_projects,safety_stock_rate,10|numeric|pg_catalog|numeric|NO|0.20|NO|
column,public,commerce_projects,sale_price,6|numeric|pg_catalog|numeric|NO|0|NO|
column,public,commerce_projects,selected_provider_id,11|bigint|pg_catalog|int8|YES||NO|
column,public,commerce_projects,status,4|text|pg_catalog|text|NO|'DRAFT'::text|NO|
column,public,commerce_projects,supply_risk_score,16|numeric|pg_catalog|numeric|YES||NO|
column,public,commerce_projects,target_keyword,5|text|pg_catalog|text|YES||NO|
column,public,commerce_projects,updated_at,21|timestamp with time zone|pg_catalog|timestamptz|NO|now()|NO|
column,public,commerce_timeline_events,actor,7|text|pg_catalog|text|NO|'system'::text|NO|
