table_schema,table_name,ordinal_position,column_name,data_type,udt_schema,udt_name,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default,is_identity,identity_generation
public,ai_decision_runs,18,result_summary,jsonb,pg_catalog,jsonb,null,null,null,NO,'{}'::jsonb,NO,null
public,ai_decision_runs,19,learning_summary,jsonb,pg_catalog,jsonb,null,null,null,NO,'{}'::jsonb,NO,null
public,ai_memory_events,1,id,bigint,pg_catalog,int8,null,64,0,NO,null,YES,BY DEFAULT
public,ai_memory_events,2,memory_type,text,pg_catalog,text,null,null,null,NO,'decision'::text,NO,null
public,ai_memory_events,3,subject_type,text,pg_catalog,text,null,null,null,NO,'system'::text,NO,null
public,ai_memory_events,4,subject_id,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_memory_events,5,title,text,pg_catalog,text,null,null,null,NO,null,NO,null
public,ai_memory_events,6,reason,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_memory_events,7,evidence,jsonb,pg_catalog,jsonb,null,null,null,NO,'[]'::jsonb,NO,null
public,ai_memory_events,8,decision,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_memory_events,9,result,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_memory_events,10,learning,text,pg_catalog,text,null,null,null,YES,null,NO,null
public,ai_memory_events,11,confidence,numeric,pg_catalog,numeric,null,null,null,NO,0,NO,null
public,ai_memory_events,12,impact_score,numeric,pg_catalog,numeric,null,null,null,NO,0,NO,null
public,ai_memory_events,13,tags,ARRAY,pg_catalog,_text,null,null,null,NO,'{}'::text[],NO,null
public,ai_memory_events,14,created_at,timestamp with time zone,pg_catalog,timestamptz,null,null,null,NO,now(),NO,null
public,ai_product_recommendations,1,id,bigint,pg_catalog,int8,null,64,0,NO,null,YES,BY DEFAULT
public,ai_product_recommendations,2,market_product_id,bigint,pg_catalog,int8,null,64,0,NO,null,NO,null
public,ai_product_recommendations,3,recommendation_type,text,pg_catalog,text,null,null,null,NO,'single'::text,NO,null
public,ai_product_recommendations,4,status,text,pg_catalog,text,null,null,null,NO,'candidate'::text,NO,null
public,ai_product_recommendations,5,ai_score,numeric,pg_catalog,numeric,null,5,2,NO,0,NO,null
