schema_name,table_name,index_name,definition
public,commerce_projects,commerce_projects_provider_idx,CREATE INDEX commerce_projects_provider_idx ON public.commerce_projects USING btree (selected_provider_id)
public,commerce_projects,commerce_projects_status_idx,CREATE INDEX commerce_projects_status_idx ON public.commerce_projects USING btree (status)
public,commerce_timeline_events,commerce_timeline_events_pkey,CREATE UNIQUE INDEX commerce_timeline_events_pkey ON public.commerce_timeline_events USING btree (id)
public,commerce_timeline_events,idx_timeline_workflow,"CREATE INDEX idx_timeline_workflow ON public.commerce_timeline_events USING btree (workflow_id, created_at DESC)"
public,commerce_workflows,commerce_workflows_pkey,CREATE UNIQUE INDEX commerce_workflows_pkey ON public.commerce_workflows USING btree (id)
public,commerce_workflows,idx_commerce_workflows_code,CREATE UNIQUE INDEX idx_commerce_workflows_code ON public.commerce_workflows USING btree (workflow_code)
public,commerce_workflows,idx_workflows_stage,"CREATE INDEX idx_workflows_stage ON public.commerce_workflows USING btree (current_stage, updated_at DESC)"
public,competition_analyses,competition_analyses_pkey,CREATE UNIQUE INDEX competition_analyses_pkey ON public.competition_analyses USING btree (id)
public,competition_analyses,competition_analyses_project_idx,CREATE INDEX competition_analyses_project_idx ON public.competition_analyses USING btree (project_id)
public,coupang_registration_attempts,coupang_registration_attempts_job_id_attempt_no_key,"CREATE UNIQUE INDEX coupang_registration_attempts_job_id_attempt_no_key ON public.coupang_registration_attempts USING btree (job_id, attempt_no)"
public,coupang_registration_attempts,coupang_registration_attempts_pkey,CREATE UNIQUE INDEX coupang_registration_attempts_pkey ON public.coupang_registration_attempts USING btree (id)
public,coupang_registration_attempts,idx_coupang_attempts_job,"CREATE INDEX idx_coupang_attempts_job ON public.coupang_registration_attempts USING btree (job_id, created_at DESC)"
public,coupang_registration_jobs,coupang_registration_jobs_listing_draft_id_key,CREATE UNIQUE INDEX coupang_registration_jobs_listing_draft_id_key ON public.coupang_registration_jobs USING btree (listing_draft_id)
public,coupang_registration_jobs,coupang_registration_jobs_pkey,CREATE UNIQUE INDEX coupang_registration_jobs_pkey ON public.coupang_registration_jobs USING btree (id)
public,coupang_registration_jobs,idx_coupang_jobs_code,CREATE UNIQUE INDEX idx_coupang_jobs_code ON public.coupang_registration_jobs USING btree (job_code)
public,coupang_registration_jobs,idx_coupang_jobs_queue,"CREATE INDEX idx_coupang_jobs_queue ON public.coupang_registration_jobs USING btree (status, updated_at DESC)"
public,coupang_registration_jobs,idx_coupang_jobs_workflow,"CREATE INDEX idx_coupang_jobs_workflow ON public.coupang_registration_jobs USING btree (workflow_id, updated_at DESC)"
public,coupang_seller_product_snapshots,coupang_seller_product_snapshots_pkey,CREATE UNIQUE INDEX coupang_seller_product_snapshots_pkey ON public.coupang_seller_product_snapshots USING btree (id)
public,coupang_seller_product_snapshots,idx_coupang_product_snapshots_product,"CREATE INDEX idx_coupang_product_snapshots_product ON public.coupang_seller_product_snapshots USING btree (seller_product_id, observed_at DESC)"
public,domestic_supplier_products,domestic_supplier_products_pkey,CREATE UNIQUE INDEX domestic_supplier_products_pkey ON public.domestic_supplier_products USING btree (id)
